description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
magic ring + jewel + rune 11 + perfect sapphire -> hitpower ring	1			100					2	"ring,any"	gpb						"usetype,crf"		1	1	gethit-skill		44	5	4	thorns/strength			1	8	dex			1	5						levelreq			-99	-99																																																											0
magic blunt + jewel + rune 03 + perfect sapphire -> hitpower weapon	1			100					2	"blun,any"	gpb						"usetype,crf"		1	1	gethit-skill		44	5	4	thorns/strength			1	8	dmg%			35	60						levelreq			-99	-99																																																											0
magic helm + jewel + rune 08 + perfect ruby -> blood helm	1			100					2	"hlm,any"	gpr						"usetype,crf"		1	1	lifesteal			1	3	hp			10	20	deadly			5	10						levelreq			-99	-99																																																											0
magic light plated boots + jewel + rune 05 + perfect ruby -> blood boots	1			100					2	"tbt,any"	gpr						"usetype,crf"		1	1	lifesteal			1	3	hp			10	20	regen			5	10						levelreq			-99	-99																																																											0
magic heavy gloves + jewel + rune 04 + perfect ruby -> blood gloves	1			100					2	"vgl,any"	gpr						"usetype,crf"		1	1	lifesteal			1	3	hp			10	20	crush			5	10						levelreq			-99	-99																																																											0
magic belt + jewel + rune 07 + perfect ruby -> blood belt	1			100					2	"mbl,any"	gpr						"usetype,crf"		1	1	lifesteal			1	3	hp			10	20	openwounds			5	10						levelreq			-99	-99																																																											0
magic spiked shield + jewel + rune 06 + perfect ruby -> blood shield	1			100					2	"spk,any"	gpr						"usetype,crf"		1	1	lifesteal			1	3	hp			10	20	thorns/strength			1	8						levelreq			-99	-99																																																											0
magic plate mail + jewel + rune 10 + perfect ruby -> blood body	1			100					2	"plt,any"	gpr						"usetype,crf"		1	1	lifesteal			1	3	hp			10	20	demon-heal			1	3						levelreq			-99	-99																																																											0
magic amulet + jewel + rune 11 + perfect ruby -> blood amulet	1			100					2	"amul,any"	gpr						"usetype,crf"		1	1	lifesteal			1	4	hp			10	20	move1			5	10						levelreq			-99	-99																																																											0
magic ring + jewel + rune 12 + perfect ruby -> blood ring	1			100					2	"ring,any"	gpr						"usetype,crf"		1	1	lifesteal			1	3	hp			10	20	str			1	5						levelreq			-99	-99																																																											0
magic axe + jewel + rune 09 + perfect ruby -> blood weapon	1			100					2	"axe,any"	gpr						"usetype,crf"		1	1	lifesteal			1	4	hp			10	20	dmg%			35	60						levelreq			-99	-99																																																											0
magic mask + jewel + rune 04 + perfect amethyst -> caster helm	1			100					2	"msk,any"	gpv						"usetype,crf"		1	1	regen-mana			4	10	mana			10	20	manasteal			1	4						levelreq			-99	-99																																																											0
magic boots + jewel + rune 10 + perfect amethyst -> caster boots	1			100					2	"lbt,any"	gpv						"usetype,crf"		1	1	regen-mana			4	10	mana			10	20	mana%			2	5						levelreq			-99	-99																																																											0
magic leather gloves + jewel + rune 09 + perfect amethyst -> caster gloves	1			100					2	"lgl,any"	gpv						"usetype,crf"		1	1	regen-mana			4	10	mana			10	20	mana-kill			1	3						levelreq			-99	-99																																																											0
magic light belt + jewel + rune 06 + perfect amethyst -> caster belt	1			100					2	"vbl,any"	gpv						"usetype,crf"		1	1	regen-mana			4	10	mana			10	20	cast1			5	10						levelreq			-99	-99																																																											0
magic small shield + jewel + rune 05 + perfect amethyst -> caster shield	1			100					2	"sml,any"	gpv						"usetype,crf"		1	1	regen-mana			4	10	mana			10	20	block			5	10						levelreq			-99	-99																																																											0
magic light plate + jewel + rune 07 + perfect amethyst -> caster body	1			100					2	"ltp,any"	gpv						"usetype,crf"		1	1	regen-mana			4	10	mana			10	20	mana-kill			1	3						levelreq			-99	-99																																																											0
magic amulet + jewel + rune 08 + perfect amethyst -> caster amulet	1			100					2	"amul,any"	gpv						"usetype,crf"		1	1	regen-mana			4	10	mana			10	20	cast1			5	10						levelreq			-99	-99																																																											0
magic ring + jewel + rune 11 + perfect amethyst -> caster ring	1			100					2	"ring,any"	gpv						"usetype,crf"		1	1	regen-mana			4	10	mana			10	20	enr			1	5						levelreq			-99	-99																																																											0
magic rod + jewel + rune 03 + perfect amethyst -> caster weapon	1			100					2	"rod,any"	gpv						"usetype,crf"		1	1	regen-mana			4	10	mana			10	20	mana%			1	5						levelreq			-99	-99																																																											0
magic crown + jewel + rune 06 + perfect emerald -> safety helm	1			100					2	"crn,any"	gpg						"usetype,crf"		1	1	red-dmg			1	4	red-mag			1	2	res-ltng			5	10	ac%			10	30	levelreq			-99	-99																																																											0
magic plate boots + jewel + rune 09 + perfect emerald -> safety boots	1			100					2	"hbt,any"	gpg						"usetype,crf"		1	1	red-dmg			1	4	red-mag			1	2	res-fire			5	10	ac%			10	30	levelreq			-99	-99																																																											0
magic gauntlets + jewel + rune 08 + perfect emerald -> safety gloves	1			100					2	"hgl,any"	gpg						"usetype,crf"		1	1	red-dmg			1	4	red-mag			1	2	res-cold			5	10	ac%			10	30	levelreq			-99	-99																																																											0
magic sash + jewel + rune 07 + perfect emerald -> safety belt	1			100					2	"lbl,any"	gpg						"usetype,crf"		1	1	red-dmg			1	4	red-mag			1	2	res-pois			5	10	ac%			10	30	levelreq			-99	-99																																																											0
magic kite shield + jewel + rune 04 + perfect emerald -> safety shield	1			100					2	"kit,any"	gpg						"usetype,crf"		1	1	red-dmg			1	4	red-mag			1	2	res-mag			5	10	ac%			10	30	levelreq			-99	-99																																																											0
magic breastplate + jewel + rune 05 + perfect emerald -> safety body	1			100					2	"brs,any"	gpg						"usetype,crf"		1	1	red-dmg			1	4	red-mag			1	2	half-freeze			1	1	ac%			10	30	levelreq			-99	-99																																																											0
magic amulet + jewel + rune 10 + perfect emerald -> safety amulet	1			100					2	"amul,any"	gpg						"usetype,crf"		1	1	red-dmg			1	4	red-mag			1	2	block			1	10						levelreq			-99	-99																																																											0
magic ring + jewel + rune 11 + perfect emerald -> safety ring	1			100					2	"ring,any"	gpg						"usetype,crf"		1	1	red-dmg			1	4	red-mag			1	2	vit			1	5						levelreq			-99	-99																																																											0
magic spear + jewel + rune 12 + perfect emerald -> safety weapon	1			100					2	"spea,any"	gpg						"usetype,crf"		1	1	red-dmg			1	4	red-mag			1	2	ac%			5	10						levelreq			-99	-99																																																											0
																																																																																																								0
charm+perfect -> 				100					2	weap	gp						"usetype,crf"		1	1																																																																																				0
charm+perfect ->				100					2	armo	gp						"usetype,crf"		1	1																																																																																				0
charm+perfect ->				100					2	cm1	gp						"usetype,crf"		1	1																																																																																				0
charm+perfect ->				100					2	cm2	gp						"usetype,crf"		1	1																																																																																				0
charm+perfect ->				100					2	cm3	gp						"usetype,crf"		1	1																																																																																				0
charm+perfect ->				100					2	rin	gp						"usetype,crf"		1	1																																																																																				0
charm+perfect ->				100					2	amu	gp						"usetype,crf"		1	1																																																																																				0
																																																																																																								0
Pandemonium key	1			100	28				3	pk1	pk2	pk3					Pandemonium Portal																																																																																							0
Pandemonium Finale key	1			100	28				3	dhn	bey	mbr					Pandemonium Finale Portal																																																																																							0
Token of Absolution	1			100					4	tes	ceh	bet	fed				toa																																																																																							0
新增公式																																																																																																								0
暗金修复	1			0					1	"any,uni"							"useitem,rep,qty=255"		50	50																																																																																				0
白色修复	1			0					1	"any,nor"							"useitem,rep,qty=255"		50	50																																																																																				0
黄金修复	1			0					1	"any,rar"							"useitem,rep,qty=255"		50	50																																																																																				0
绿色修复	1			0					1	"any,set"							"useitem,rep,qty=255"		50	50																																																																																				0
手工修复	1			0					1	"any,crf"							"useitem,rep,qty=255"		50	50																																																																																				0
蓝色修复	1			0					1	"any,mag"							"useitem,rep,qty=255"		50	50																																																																																				0
防具打孔Ex	1			0	28				2	"armo,any"	r02						"usetype,mod"	99			sock			2	2																																																																															0
防具打孔Ex	1			0	28				2	"armo,any"	r03						"usetype,mod"	99			sock			3	3																																																																															0
防具打孔Ex	1			0	28				2	"armo,any"	r04						"usetype,mod"	99			sock			4	4																																																																															0
防具打孔Ex	1			0	28				2	"armo,any"	r05						"usetype,mod"	99			sock			5	5																																																																															0
防具打孔Ex	1			0	28				2	"armo,any"	r06						"usetype,mod"	99			sock			6	6																																																																															0
任意jew+血瓶= ed jew	1			0					2	"jew,any"	"hpot,any"						"usetype,mag,pre=198"	88																																																																																						0
任意jew+ 1# =ed/ias jew	1			0					2	"jew,any"	r01						"usetype,mag,pre=198,suf=171"	88																																																																																						0
武器打孔Ex	1			0	28				2	"weap,any"	r02						"usetype,mod"	99			sock			2	2																																																																															0
武器打孔Ex	1			0	28				2	"weap,any"	r03						"usetype,mod"	99			sock			3	3																																																																															0
武器打孔Ex	1			0	28				2	"weap,any"	r04						"usetype,mod"	99			sock			4	4																																																																															0
武器打孔Ex	1			0	28				2	"weap,any"	r05						"usetype,mod"	99			sock			5	5																																																																															0
武器打孔Ex	1			0	28				2	"weap,any"	r06						"usetype,mod"	99			sock			6	6																																																																															0
任意武器+蓝瓶=白色武器	1			0					2	"weap,any"	"mpot,any"						"usetype,nor"	88																																																																																						0
任意防具+蓝瓶=白色防具	1			0					2	"armo,any"	"mpot,any"						"usetype,nor"	88																																																																																						0
3 key ulc	1			0					2	"rvl,qty=2"							pk1																													pk2																													pk3																													0
3 2nd key ulc	0			0					2								dhn																													bey																													mbr																													0
2 精髓	1			0					2	"r32,qty=2"							tes																													bet																																																										0
2 精髓	1			0					2	"r33,qty=2"							ceh																													fed																																																										0
防具+解毒药剂=无形防具	1			0					2	"armo,any"	yps						"usetype,mod"	88			ethereal			1	1																																																																															0
武器+解毒药剂=无形武器	1			0					2	"weap,any"	yps						"usetype,mod,eth"	88			ethereal			1	1																																																																															0
防具up1	1			0					2	"armo,bas"	"hpot,any"						"usetype,mod,exc"	88																																																																																						0
防具up2	1			0					2	"armo,exc"	"hpot,any"						"usetype,mod,eli"	88																																																																																						0
武器up1	1			0					2	"weap,bas"	"hpot,any"						"usetype,mod,exc"	88																																																																																						0
武器up2	1			0					2	"weap,exc"	"hpot,any"						"usetype,mod,eli"	88																																																																																						0
jew+溶解药剂=复制2两份ring	1			0					2	"misc,any"	wms						"usetype,mod"																													"usetype,mod"																													"usetype,mod"																													0
武器+溶解药剂=复制2两份ring	1			0					2	"weap,any"	wms						"usetype,mod"																													"usetype,mod"																													"usetype,mod"																													0
护甲+溶解药剂=复制2两份ring	1			0					2	"armo,any"	wms						"usetype,mod"																													"usetype,mod"																													"usetype,mod"																													0
任意铠甲+20#=稳定甲	1			0					2	"tors,any"	r20						"usetype,mag,pre=422,suf=264"	88																																																																																						0
任意铠甲+21#血甲	1			0					2	"tors,any"	r21						"usetype,mag,pre=422,suf=320"	88																																																																																						0
任意盾牌+22#偏向盾	1			0					2	"shld,any"	r22						"usetype,mag,pre=422,suf=173"	88																																																																																						0
任意盾牌+23#简朴盾	1			0					2	"shld,any"	r23						"usetype,mag,pre=422,suf=369"	88																																																																																						0
双偷戒指 20str	1			0					2	"rin,any"	"hpot,any"						"usetype,rar,suf=382,suf=747,suf=357"	88																																																																																						0
牛关	1			0					2	tsc	isc						Cow Portal																																																																																							0
冷静抓	1			0					3	"h2h2,any"	"hpot,any"	"mpot,any"					"usetype,mag,pre=507"	88																																																																																						0
大紫	1			0					1	"hpot,any"							rvl																																																																																							0
任意铠甲+24#=珠宝匠甲	1			0					2	"tors,any"	r24						"usetype,mag,pre=422"	99																																																																																						0
反镶嵌	1			0	28				2	"any,sock"	key						"useitem,rem"																																																																																							0
武器加技能	1			0	28				2	"weap,any"	Annihilus						"usetype,mod"	99			allskills	100		1	1																																																																															0
护甲加技能	1			0	28				2	"armo,any"	Annihilus						"usetype,mod"	99			allskills	100		1	1																																																																															0
火炬加技能	1			0	28				2	Hellfire Torch	Annihilus						"usetype,mod"	99			allskills	100		1	1																																																																															0
项链加技能	1			0	28				2	"amu,any"	Annihilus						"usetype,mod"	99			allskills	100		1	1																																																																															0
戒指加技能	1			0	28				2	"rin,any"	Annihilus						"usetype,mod"	99			allskills	100		1	1																																																																															0
珠宝加技能	1			0	28				2	"jew,any"	Annihilus						"usetype,mod"	99			allskills	100		1	1																																																																															0
赫拉迪克法杖	1			0	28				3	"jew,any"	"isc,qty=2"						hst																																																																																							0
克林姆连枷	1			0	28				3	"jew,any"	"tsc,qty=2"						qf2																																																																																							0
物品打孔	1			0					2	"misc,any,nos"	r01						"useitem,sock=1"																																																																																							0
物品打孔	1			0					2	char	r01						"usetype,mod"				sock			1	1																																																																															0
物品打孔	1			0					2	char	r02						"usetype,mod"				sock			2	2																																																																															0
物品打孔	1			0					2	char	r03						"usetype,mod"				sock			3	3																																																																															0
转移	1			0					2	char	jew						"jew,mod"																																																																																							0
转移	1			0					2	rin	jew						"jew,mod"																																																																																							0
转移	1			0					2	amu	jew						"jew,mod"																																																																																							0
转移	1			0					2	"weap,any"	jew						"jew,mod"																																																																																							0
转移	1			0					2	"armo,any"	jew						"jew,mod"																																																																																							0
																																																																																																								0
分解符文	1			0					2	r33	wms						r32																													r32																																																										0
分解符文	1			0					2	r32	wms						r31																													r31																																																										0
分解符文	1			0					2	r31	wms						r30																													r30																																																										0
分解符文	1			0					2	r30	wms						r29																													r29																																																										0
分解符文	1			0					2	r29	wms						r28																													r28																																																										0
分解符文	1			0					2	r28	wms						r27																													r27																																																										0
分解符文	1			0					2	r27	wms						r26																													r26																																																										0
分解符文	1			0					2	r26	wms						r25																													r25																																																										0
分解符文	1			0					2	r25	wms						r24																													r24																																																										0
分解符文	1			0					2	r24	wms						r23																													r23																																																										0
分解符文	1			0					2	r23	wms						r22																													r22																																																										0
分解符文	1			0					2	r22	wms						r21																													r21																																																										0
分解符文	1			0					2	r21	wms						r20																													r20																													r20																													0
分解符文	1			0					2	r20	wms						r19																													r19																													r19																													0
分解符文	1			0					2	r19	wms						r18																													r18																													r18																													0
分解符文	1			0					2	r18	wms						r17																													r17																													r17																													0
分解符文	1			0					2	r17	wms						r16																													r16																													r16																													0
分解符文	1			0					2	r16	wms						r15																													r15																													r15																													0
分解符文	1			0					2	r15	wms						r14																													r14																													r14																													0
分解符文	1			0					2	r14	wms						r13																													r13																													r13																													0
分解符文	1			0					2	r13	wms						r12																													r12																													r12																													0
分解符文	1			0					2	r12	wms						r11																													r11																													r11																													0
分解符文	1			0					2	r11	wms						r10																													r10																													r10																													0
分解符文	1			0					2	r10	wms						r09																													r09																													r09																													0
分解符文	1			0					2	r09	wms						r08																													r08																													r08																													0
分解符文	1			0					2	r08	wms						r07																													r07																													r07																													0
分解符文	1			0					2	r07	wms						r06																													r06																													r06																													0
分解符文	1			0					2	r06	wms						r05																													r05																													r05																													0
分解符文	1			0					2	r05	wms						r04																													r04																													r04																													0
分解符文	1			0					2	r04	wms						r03																													r03																													r03																													0
分解符文	1			0					2	r03	wms						r02																													r02																													r02																													0
分解符文	1			0					2	r02	wms						r01																													r01																													r01																													0
新手弓	1			0					3	weap,any	mpot	hpot					Pullspite	1																												mpot																													hpot																													0
测试	1			0					3	armo,any	hpot,qty=2						r41	99	99	99			10																							hpot																													hpot																													0
