Name	Rune Name	complete	server	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*runes	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	eol
Runeword9	Bramble	1		weap	glov	belt	boot	char	armo				RalOhmSurEth	r08	r27	r29	r05			balance2		50	50	ac		300	300	aura	Thorns	15	21	heal-kill		13	13	extra-pois		25	50	res-pois		100	100	charged	Spirit of Barbs	33	13	0
Runeword11	Breath of the Dying	1		weap	glov	belt	boot	char	armo				VexHelElEldZodEth	r26	r15	r01	r02	r33	r05	swing2		60	60	dmg-undead		125	125	lifesteal		12	15	noheal		1	1	kill-skill	Poison Nova	50	20	dmg%		350	400	all-stats		30	30	0
Runeword13	Call to Arms	1		weap	glov	belt	boot	char	armo				AmnRalMalIstOhm	r11	r08	r23	r24	r27		swing2		40	40	dmg%		200	240	allskills		1	1	oskill	Battle Command	2	6	oskill	Battle Orders	1	6	oskill	Battle Cry	1	4	regen		12	12	0
Runeword17	Crescent Moon	1		weap	glov	belt	boot	char	armo				ShaelUmTir	r13	r22	r03				pierce-ltng		35	35	ignore-ac		1	1	dmg%		180	220	abs-mag		9	11	charged	Summon Spirit Wolf	30	18	hit-skill	Static Field	7	13	hit-skill	Chain Lightning	10	17	0
Runeword22	Delirium	1		weap	glov	belt	boot	char	armo				LemIstIo	r20	r24	r16				hit-skill	Confuse	11	18	charged	Attract	60	17	gethit-skill	Terror	14	13	ac		261	261	gethit-skill	Mind Blast	6	14	gethit-skill	Delerium Change	1	50	allskills		2	2	0
Runeword26	Doomsayer	1		weap	glov	belt	boot	char	armo				HelOhmUmLoCham	r15	r27	r22	r28	r32		dmg%		280	320	aura	Holy Freeze	12	12	swing2		45	45	noheal		1	1	pierce-cold		40	60	allskills		2	2	hit-skill	Volcano	5	18	0
Runeword33	Enigma	1		weap	glov	belt	boot	char	armo				JahIthBer	r31	r06	r30				ac		750	775	heal-kill		14	14	move2		45	45	str/lvl	6			allskills		2	2	mag%/lvl	8			oskill	Teleport	1	1	0
Runeword137	Stone	1		weap	glov	belt	boot	char	armo				ShaelUmPulLum	r13	r22	r21	r17			ac%		220	260	charged	Clay Golem	16	16	ac-miss		300	300	charged	Molten Boulder	80	16	str		16	16	vit		16	16	balance2		40	40	0
Runeword36	Eternity	1		weap	glov	belt	boot	char	armo				AmnBerIstSolSur	r11	r30	r24	r12	r29		dmg%		260	310	indestruct		1	1	slow		33	33	charged	Revive	88	8	regen		16	16	regen-mana		16	16	nofreeze		1	1	0
Runeword37	Exile's Path	1		weap	glov	belt	boot	char	armo				VexOhmIstDol	r26	r27	r24	r14			block2		30	30	freeze		1	1	ac%		220	260	aura	Defiance	13	16	skilltab	10	2	2	hit-skill	Life Tap	15	5	rep-dur	25			0
Runeword39	Famine	1		weap	glov	belt	boot	char	armo				FalOhmOrtJah	r19	r27	r09	r31			dmg%		270	320	lifesteal		12	12	swing2		30	30	noheal		1	1	dmg-mag		180	200	dmg-elem	100	50	200	ethereal		1	1	0
Runeword48	Hand of Justice	1		weap	glov	belt	boot	char	armo				SurChamAmnLo	r29	r32	r11	r28			swing2		33	33	dmg%		280	330	aura	Holy Fire	16	16	levelup-skill	Blaze	100	36	death-skill	Meteor	100	48	ignore-ac		1	1	pierce-fire		20	20	0
Runeword51	Heart of the Oak	1		weap	glov	belt	boot	char	armo				KoVexPulThul	r18	r26	r21	r10			cast2		40	40	charged	Oak Sage	25	4	mana%		15	15	allskills		3	3	regen		20	20	res-all		30	40	charged	Raven	60	14	0
Runeword66	Kingslayer	1		weap	glov	belt	boot	char	armo				MalUmGulFal	r23	r22	r25	r19			swing2		30	30	dmg%		230	270	reduce-ac		25	25	crush		33	33	openwounds		25	25	oskill	Vengeance	1	1	gold%		40	40	0
Runeword95	Passion	1		weap	glov	belt	boot	char	armo				DolOrtEldLem	r14	r09	r02	r20			dmg%		160	210	oskill	Zeal	1	1	att%		50	80	oskill	Berserk	1	1	swing2		25	25	charged	Heart of Wolverine	12	3	stupidity		10	10	0
Runeword45	Gloom	1		weap	glov	belt	boot	char	armo				FalUmPul	r19	r22	r21				ac%		170	230	res-all		30	30	gethit-skill	Dim Vision	15	3	balance2		10	10	dmg-to-mana		5	5	light		-3	-3	half-freeze		1	1	0
Runeword122	Sanctuary	1		weap	glov	belt	boot	char	armo				KoKoMal	r18	r18	r23				block		20	20	block2		20	20	ac%		130	160	ac-miss		250	250	res-all		50	70	balance2		20	20	charged	Slow Missiles	60	12	0
Runeword16	Chaos	1		weap	glov	belt	boot	char	armo				FalOhmUm	r19	r27	r22				demon-heal		15	15	dmg%		240	290	dmg-mag		216	471	oskill	Whirlwind	1	1	swing2		35	35	hit-skill	Frozen Orb	9	11	hit-skill	Charged Bolt	11	9	0
Runeword4	The Beast	1		weap	glov	belt	boot	char	armo					r30	r03	r22	r23	r17		swing2		40	40	aura	Fanaticism	9	9	dmg%		240	270	str		25	40	charged	Summon Grizzly	5	13	oskill	Wearbear	3	3	oskill	Shape Shifting	3	3	0
Runeword123	Serendipity			weap	glov	belt	boot	char	armo																																							0
Runeword124	Shadow	1	1	weap	glov	belt	boot	char	armo					r29	r24	r13				move2		35	35	dmg%		350	350	dmg/lvl	8			att/lvl	32			oskill	279	3	3	all-stats		30	30	charged	279	70	42	0
Runeword125	Shadow of Doubt			weap	glov	belt	boot	char	armo																																							0
Runeword127	Siren's Song	1	1	weap	glov	belt	boot	char	armo					r32	r30	r13				hit-skill	74	20	8	aura	122	8	8	cast2		40	40	dmg%		500	500	dmg-elem		255	511	oskill	26	8	8	addxp		8	8	0
Runeword129	Sorrow			weap	glov	belt	boot	char	armo																																							0
Runeword130	Spirit	1	1	weap	glov	belt	boot	char	armo				TalThulOrtAmn	r07	r10	r09	r11			balance3		55	55	mana		89	112	ac-miss		250	250	vit		22	22	cast3		25	35	abs-mag		3	8	allskills		2	2	0
Runeword131	Splendor	1		weap	glov	belt	boot	char	armo					r05	r17					light		3	3	gold%		50	50	mag%		20	20	ac%		60	100	block2		20	20	cast2		10	10	allskills		1	1	0
Runeword132	Starlight	1	1	weap	glov	belt	boot	char	armo					r30	r29	r12	r02			gethit-skill	38	62	62	pal		4	4	cast2		30	30	extra-ltng		80	80	oskill	121	3	3	oskill	57	40	40	red-mag		12	12	0
Runeword135	Still Water	1	1	weap	glov	belt	boot	char	armo					r29	r27	r12				gethit-skill	42	25	25	aura	123	5	5	abs-fire		20	20	abs-cold		20	20	abs-ltng		20	20	reanimate	290	20	20					0
Runeword30	Duress	1		weap	glov	belt	boot	char	armo				ShaelUmThul	r13	r22	r10				dmg-cold	50	37	133	dmg%		10	20	ac%		150	200	balance2		20	20	openwounds		33	33	crush		15	15	stamdrain		-20	-20	0
Runeword138	Storm			weap	glov	belt	boot	char	armo																																							0
Runeword140	Tempest			weap	glov	belt	boot	char	armo																																							0
Runeword141	Temptation	1	1	weap	glov	belt	boot	char	armo					r27	r25	r23				gethit-skill	81	10	10	hit-skill	86	15	10	aura	120	1	1	allskills		3	3	oskill	116	1	1	res-all		35	35	cheap		25	25	0
Runeword142	Terror	1	1	weap	glov	belt	boot	char	armo					r27	r22					gethit-skill	77	20	5	nec		2	2	cast2		30	30	pierce-pois		20	20	oskill	84	3	3	oskill	93	3	3					0
Runeword90	Nightfall	1	1	weap	glov	belt	boot	char	armo					r26	r23	r21				gethit-skill	81	10	4	att-skill	223	5	30	lifesteal		6	6	deadly/lvl	2			slow		30	30	ac%		70	70	reanimate	433	10	10	0
Runeword91	Oath	1	1	weap	glov	belt	boot	char	armo				ShaelPulMalLum	r13	r21	r23	r17			dmg%		210	340	swing1		30	30	hit-skill	Bone Spirit	30	20	charged	IronGolem	14	17	charged	Heart of Wolverine	20	16	abs-mag		10	15	indestruct		1	1	0
Runeword92	Obedience	1	1	weap	glov	belt	boot	char	armo				HelKoThulEthFal	r15	r18	r10	r05	r19		dmg%		370	370	crush		40	40	kill-skill	enchant	30	21	pierce-fire		25	25	ac		200	300	balance3		40	40	res-all		20	30	0
Runeword93	Oblivion	1	1	weap	glov	belt	boot	char	armo					r29	r24	r19	r10			allskills		2	2	cast2		30	30	extra-cold		30	30	oskill	80	40	40	res-mag		8	8	dmg-to-mana		20	20	ease		-25	-25	0
Runeword94	Obsession			weap	glov	belt	boot	char	armo																																							0
Runeword49	Harmony	1	1	weap	glov	belt	boot	char	armo				TirIthSolKo	r03	r06	r12	r18			dmg%		200	275	dmg-elem		55	160	charged	Revive	25	20	aura	Vigor	10	10	oskill	Valkyrie	2	6	regen-mana		20	20	light		2	2	0
Runeword50	Hatred	1	1	weap	glov	belt	boot	char	armo					r29	r26	r23	r19			hit-skill	87	10	2	dmg		200	200	dmg-mag		100	100	dmg-elem		1	500	openwounds		25	25	slow		33	33	oskill	111	3	3	0
Runeword40	Flickering Flame			weap	glov	belt	boot	char	armo																																							0
Runeword41	Fortitude	1	1	weap	glov	belt	boot	char	armo				ElSolDolLo	r01	r12	r14	r28			ac%		200	200	dmg%		300	300	cast3		25	25	gethit-skill	Chilling Armor	20	15	dmg-to-mana		12	12	hp/lvl		8	12	res-all		25	30	0
Runeword42	Fortune's Favor			weap	glov	belt	boot	char	armo																																							0
Runeword89	Nature's Kingdom	1	1	weap	glov	belt	boot	char	armo					r32	r27	r22				hit-skill	244	6	62	hit-skill	240	30	60	hit-skill	91	10	2	hit-skill	59	8	52	hit-skill	49	15	58	dmg%		100	100	res-all-max		10	10	0
Runeword46	Glory	1	1	weap	glov	belt	boot	char	armo					r25	r18	r16				allskills		2	2	block		10	10	all-stats		20	20	hp/lvl	12			mana/lvl	12			red-dmg%		10	10					0
Runeword38	Faith	1	1	weap	glov	belt	boot	char	armo				OhmJahLemEld	r27	r31	r20	r02			dmg%		280	280	att%		300	300	dmg-fire		120	120	res-all		15	15	aura	fanaticism	12	15	reanimate	1	10	10	allskills		1	2	0
Runeword43	Amity			weap	glov	belt	boot	char	armo																																							0
Runeword2	Armageddon	1	1	weap	glov	belt	boot	char	armo					r28	r26	r14				allskills		2	2	cast2		30	30	pierce-fire		50	50	extra-fire		50	50	oskill	249	40	40	oskill	56	40	40	ac%		200	200	0
Runeword3	Authority			weap	glov	belt	boot	char	armo																																							0
Runeword5	Beauty	1	1	weap	glov	belt	boot	char	armo					r33	r27	r22				allskills		3	3	cast2		20	20	ac%		150	150	res-mag		10	10	res-all		30	30	red-dmg%		20	20	addxp		5	5	0
Runeword7	Blood			weap	glov	belt	boot	char	armo																																							0
Runeword8	Bone	1		weap	glov	belt	boot	char	armo				SolUmUm	r12	r22	r22				hit-skill	Bone Spear	15	10	gethit-skill	Bone Armor	15	10	nec		2	2	mana		100	150													0
Runeword10	Brand	1	1	weap	glov	belt	boot	char	armo				JahLoMalGul	r31	r28	r23	r25			dmg%		260	340	dmg-demon		280	330	hit-skill	Bone Spear	100	18	gethit-skill	Amplify Damage	35	14	knock		1	1	noheal		1	1	explosivearrow		15	15	0
Runeword12	Broken Promise			weap	glov	belt	boot	char	armo																																							0
Runeword15	Chance	1	1	weap	glov	belt	boot	char	armo					r32	r27	r24	r18			dmg%		500	500	reanimate	709	3	3	reanimate	243	3	3	reanimate	242	3	3	reanimate	211	3	3	reanimate	156	3	3	reanimate	234	30	30	0
Runeword136	Sting	1	1	weap	glov	belt	boot	char	armo					r32	r26	r21				aura	122	5	5	allskills		3	3	swing2		20	20	dmg		400	400	manasteal		10	10	lifesteal		10	10	oskill	75	10	10	0
Runeword18	Darkness			weap	glov	belt	boot	char	armo																																							0
Runeword19	Daylight	1	1	weap	glov	belt	boot	char	armo					r27	r22	r19	r16	r14		gethit-skill	Delerium Change	2	50	gethit-skill	267	2	5	gethit-skill	121	5	40	gethit-skill	91	5	5	gethit-skill	60	2	20	aura	123	10	10	cast2		40	40	0
Runeword20	Death	1	1	weap	glov	belt	boot	char	armo				HelElVexOrtGul	r15	r01	r26	r09	r25		dmg%		300	385	deadly/lvl	4			charged	BloodGolem	15	22	att-skill	Glacial Spike	25	18	death-skill	Chain Lightning	100	44	crush		50	50	indestruct		1	1	0
Runeword21	Deception	1	1	weap	glov	belt	boot	char	armo					r30	r26					aura	122	10	10	nec		3	3	oskill	90	2	2	oskill	70	2	2	oskill	80	2	2	oskill	54	2	2	res-all		30	30	0
Runeword23	Desire			weap	glov	belt	boot	char	armo																																							0
Runeword24	Despair			weap	glov	belt	boot	char	armo																																							0
Runeword32	Destiny's Daughter			weap	glov	belt	boot	char	armo																																							0
Runeword25	Destruction	1	1	weap	glov	belt	boot	char	armo				VexLoBerJahKo	r26	r28	r30	r31	r18		dmg%		350	350	dmg-mag		100	180	hit-skill	Molten Boulder	5	23	death-skill	Meteor	100	45	att-skill	Nova	15	22	hit-skill	Volcano	23	12	noheal		1	1	0
Runeword27	Dragon	1	1	weap	glov	belt	boot	char	armo				SurLoSol	r29	r28	r12				ac		360	360	ac-miss		230	230	str/lvl	3			hit-skill	Hydra	12	15	gethit-skill	Venom	20	18	aura	Holy Fire	14	14	all-stats		3	5	0
Runeword28	Dread			weap	glov	belt	boot	char	armo																																							0
Runeword29	Dream	1	1	weap	glov	belt	boot	char	armo				IoJahPul	r16	r31	r21				ac		150	220	gethit-skill	Confuse	10	15	mana/lvl	5			res-all		5	20	balance3		20	30	aura	Holy Shock	15	15	mag%		12	25	0
Runeword56	Dweomer			weap	glov	belt	boot	char	armo																																							0
Runeword31	Edge	1	1	weap	glov	belt	boot	char	armo				TirTalAmn	r03	r07	r11				dmg-demon		320	380	dmg-undead		280	280	swing2		35	35	noheal		1	1	aura	Thorns	15	15	all-stats		5	10	cheap		15	15	0
Runeword34	Enlightenment	1		weap	glov	belt	boot	char	armo				PulRalSur	r21	r08	r12				hit-skill	Fire Ball	5	15	gethit-skill	Blaze	5	15	sor		2	2	oskill	Warmth	1	1													0
Runeword35	Envy			weap	glov	belt	boot	char	armo																																							0
Runeword52	Heaven's Will			weap	glov	belt	boot	char	armo																																							0
Runeword53	Holy Tears	1	1	weap	glov	belt	boot	char	armo					r22	r11					kill-skill	66	5	5	allskills		1	1	hp		100	100	reanimate	302	5	5													0
Runeword57	Humility			weap	glov	belt	boot	char	armo																																							0
Runeword58	Hunger	1	1	weap	glov	belt	boot	char	armo					r30	r23	r12				hit-skill	82	10	2	aura	122	10	10	dru		3	3	swing2		30	30	dmg%		150	150	charged	247	150	52	charged	237	240	58	0
Runeword59	Ice	1	1	weap	glov	belt	boot	char	armo				AmnShaelJahLo	r11	r13	r31	r28			dmg%		140	210	aura	Holy Freeze	18	18	extra-cold		25	30	hit-skill	Frost Nova	25	22	levelup-skill	Blizzard	100	40	pierce-cold		20	20	gold%/lvl	25			0
Runeword60	Infinity	1	1	weap	glov	belt	boot	char	armo				BerMalBerIst	r30	r23	r30	r24			dmg%		255	325	move3		35	35	vit/lvl	4			aura	Conviction	12	12	kill-skill	Chain Lightning	50	20	pierce-ltng		45	55	charged	Cyclone Armor	30	21	0
Runeword61	Innocence			weap	glov	belt	boot	char	armo																																							0
Runeword62	Insight	1	1	weap	glov	belt	boot	char	armo				RalTirTalSol	r08	r03	r07	r12			dmg%		200	260	att%		180	250	mag%		23	23	oskill	Critical Strike	1	6	cast2		35	35	aura	Meditation	12	17	all-stats		5	5	0
Runeword63	Jealousy			weap	glov	belt	boot	char	armo																																							0
Runeword64	Judgment			weap	glov	belt	boot	char	armo																																							0
Runeword67	Knight's Vigil	1	1	weap	glov	belt	boot	char	armo					r33	r32	r13				aura	123	8	8	swing2		30	30	cast2		30	30	block		30	30	ac%		300	300	res-all		30	30	red-dmg%		30	30	0
Runeword69	Last Wish	1	1	weap	glov	belt	boot	char	armo				JahMalJahSurJahBer	r31	r23	r31	r29	r31	r30	dmg%		330	375	att-skill	Charged Bolt	20	20	hit-skill	Life Tap	10	18	gethit-skill	Fade	6	11	crush		40	50	mag%/lvl	4			aura	Might	17	17	0
Runeword70	Law			weap	glov	belt	boot	char	armo																																							0
Runeword71	Lawbringer	1	1	weap	glov	belt	boot	char	armo				AmnLemKo	r11	r20	r18				dmg-cold		130	180	dmg-fire		150	210	aura	Sanctuary	16	18	hit-skill	Decrepify	20	15	ac-miss		200	250	rip		1	1	reduce-ac		50	50	0
Runeword73	Lightning	1	1	weap	glov	belt	boot	char	armo					r33	r28	r24				allskills		2	2	cast2		25	25	manasteal		6	6	pierce-ltng		25	25	extra-ltng		25	25	oskill	49	40	40	dex		20	20	0
Runeword77	Loyalty			weap	glov	belt	boot	char	armo																																							0
Runeword78	Lust	1	1	weap	glov	belt	boot	char	armo					r31	r24	r21	r20	r13		hit-skill	72	10	15	aura	124	12	12	oskill	54	1	1	cast2		30	30	dmg%		400	400	dmg/lvl		16	16	crush		30	30	0
Runeword79	Madness	1	1	weap	glov	belt	boot	char	armo					r33	r32	r23	r22	r11		swing2		60	60	dmg%		500	500	oskill	151	10	10	oskill	54	1	1	res-all		50	50	res-mag		20	20	red-dmg%		20	20	0
Runeword84	Mist	1	1	weap	glov	belt	boot	char	armo					r32	r22					kick/time	3	200	200	hit-skill	71	10	10	allskills		2	2	swing2		30	30	dmg-mag		50	100	dmg-elem		50	100					0
Runeword85	Morning Dew			weap	glov	belt	boot	char	armo																																							0
Runeword86	Mystery	1	1	weap	glov	belt	boot	char	armo					r32	r26	r19	r13			hit-skill	93	8	40	hit-skill	55	33	10	aura	104	1	1	move2		45	45	swing2		25	25	dmg%		400	400	red-dmg%		20	20	0
Runeword87	Myth	1		weap	glov	belt	boot	char	armo				HelAmnNef	r15	r11	r04				hit-skill	Taunt	10	1	gethit-skill	Howl	3	1	bar		2	2	regen		10	10													0
Runeword95	Patience			weap	glov	belt	boot	char	armo																																							0
Runeword97	Pattern			weap	glov	belt	boot	char	armo					r07	r09	r03				att%		10	10	dmg%		40	80	dmg-fire		12	32	res-all		15	15	str		6	6	dex		6	6	block2		30	30	0
Runeword98	Peace	1		weap	glov	belt	boot	char	armo				ShaelThulAmn	r13	r10	r11				hit-skill	Valkyrie	2	15	gethit-skill	Slow Missiles	4	5	ama		2	2	oskill	Critical Strike	2	2													0
Runeword100	Penitence			weap	glov	belt	boot	char	armo																																							0
Runeword101	Peril	1	1	weap	glov	belt	boot	char	armo					r28	r26	r13				hit-skill	253	10	6	swing2		30	30	red-dmg%		25	25	block		25	25	dmg%		200	200	ac%		200	200					0
Runeword102	Pestilence	1	1	weap	glov	belt	boot	char	armo					r27	r25	r22	r07			gethit-skill	83	10	20	hit-skill	92	15	50	allskills		2	2	dmg%		300	300	extra-pois		100	100	skill	238	3	3	res-pois-len		50	50	0
Runeword103	Phoenix	1	1	weap	glov	belt	boot	char	armo				VexVexLoJah	r26	r26	r28	r31			dmg%		350	400	ac-miss		350	400	hit-skill	Firestorm	40	22	levelup-skill	Blaze	100	40	pierce-fire		28	28	aura	Redemption	10	15	abs-fire		15	21	0
Runeword104	Piety			weap	glov	belt	boot	char	armo																																							0
Runeword105	Pillar of Faith			weap	glov	belt	boot	char	armo																																							0
Runeword106	Plague			weap	glov	belt	boot	char	armo				ChamFalUm	r32	r19	r22				dmg-demon		260	380	gethit-skill	Lower Resist	20	12	hit-skill	Poison Nova	25	15	pierce-pois		23	23	deadly/lvl	3			aura	Cleansing	13	17	allskills		1	2	0
Runeword107	Praise	1	1	weap	glov	belt	boot	char	armo					r29	r24	r12	r11			hit-skill	121	8	45	hit-skill	112	8	45	hit-skill	68	2	1	swing2		60	60	dmg%		450	450	deadly/lvl	3			oskill	70	20		0
Runeword108	Prayer	1	1	weap	glov	belt	boot	char	armo					r31	r24	r20	r14			kill-skill	32	10	28	aura	99	12	12	allskills		2	2	dmg/lvl	16			oskill	22	1	1	ac%		200	200	rep-dur	25			0
Runeword109	Pride	1	1	weap	glov	belt	boot	char	armo				ChamSurIoLo	r32	r29	r16	r28			dmg-dem/lvl	8			dmg-ltng		50	280	att%		260	300	aura	Concentration	16	20	gethit-skill	Fire Wall	25	17	regen		8	8	gold%/lvl	15			0
Runeword110	Principle	1		weap	glov	belt	boot	char	armo				RalGulEld	r08	r25	r02				hit-skill	Holy Bolt	100	5	pal		2	2	hp		100	150	dmg-undead		50	50													0
Runeword111	Prowess in Battle	1	1	weap	glov	belt	boot	char	armo					r33	r30	r11				kill-skill	66	2	5	hit-skill	60	2	8	hit-skill	42	20	12	aura	122	5	5	dmg%		430	430	att/lvl	16			oskill	151	1	1	0
Runeword112	Prudence	1		weap	glov	belt	boot	char	armo					r23	r03					ac%		140	170	red-mag		10	10	red-dmg		3	3	res-all		25	35	balance2		25	25	rep-dur	25			light		1	1	0
Runeword113	Punishment	1	1	weap	glov	belt	boot	char	armo					r33	r26	r14				aura	123	5	5	sor		4	4	cast2		30	30	ac%		100	100	res-all		30	30									0
Runeword114	Purity			weap	glov	belt	boot	char	armo																																							0
Runeword115	Question			weap	glov	belt	boot	char	armo																																							0
Runeword117	Rain	1		weap	glov	belt	boot	char	armo				OrtMalIth	r09	r23	r06				hit-skill	Twister	5	15	gethit-skill	Cyclone Armor	5	15	dru		2	2	mana		100	150													0
Runeword118	Reason			weap	glov	belt	boot	char	armo																																							0
Runeword119	Red	1	1	weap	glov	belt	boot	char	armo					r31	r26	r23	r16			allskills		3	3	cast2		25	25	block		20	20	pierce-fire		30	30	extra-fire		30	30	hp		80	80	res-all		40	40	0
Runeword121	Rift	1	1	weap	glov	belt	boot	char	armo				HelKoLemGul	r15	r18	r20	r25			dmg-mag		160	250	dmg-fire		60	180	dmg-to-mana		38	38	hit-skill	Tornado	20	16	att-skill	Frozen Orb	16	21	charged	Iron Maiden	40	15	all-stats		5	10	0
Runeword76	The Lovers	1	1	weap	glov	belt	boot	char	armo					r23	r13	r12				gold%/time	0	100	100	mag%/time	1	100	100	hit-skill	32	1	30	allskills		1	1	dmg%		100	100	ac%		100	100					0
Runeword143	Thirst			weap	glov	belt	boot	char	armo																																							0
Runeword68	Thirst for Knowledge	1	1	weap	glov	belt	boot	char	armo					r31	r25	r17				sor		3	3	oskill	120	10	10	oskill	68	10	10	oskill	226	10	10	oskill	149	10	10	oskill	279	10	10	oskill	32	10	10	0
Runeword144	Thought			weap	glov	belt	boot	char	armo																																							0
Runeword145	Thunder	1	1	weap	glov	belt	boot	char	armo					r32	r28	r09				allskills		2	2	cast2		30	30	block		25	25	pierce-ltng		20	20	extra-ltng		20	20	skill	57	3	3	skill	35	3	3	0
